fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,analysis_id,measured_by,measured_by_other,date_started,analysis_remarks,ndf_correction_factors,adf_correction_factors,adl_correction_factors,ashing_correction_factors,sample_photos,sample_photos_caption,sample_photos_url,lab_notebook_photos,lab_notebook_photos_caption,lab_notebook_photos_url,analysis_audio_remarks,analysis_audio_remarks_caption,analysis_audio_remarks_url,deleted_by,date_deleted,rejected_by,date_rejected,verified_by,date_verified,submitted_by,date_submitted,approved_by,date_approved,published_by,date_published,one_hidden_variable,number_of_rejections
340ba347-eaa2-40cc-a514-2b81f1e14348,2019-01-09 11:30:33 EST,2019-04-10 14:59:09 EDT,etienne.laliberte@umontreal.ca,antoine.mathieu.1@umontreal.ca,2019-01-09 11:30:58 EST,2019-04-10 14:59:34 EDT,3,pending,CABO-test,,,,,27908975,Etienne Laliberté,,2019-01-09,,1.017755811825,1.00402709134175,1.01541277686253,0.237964488376355,,,,,,,,,,,,,,,,,,,,,,,
e3533422-9b92-47d8-afd2-f097ced80572,2019-01-09 11:35:18 EST,2019-02-20 15:36:55 EST,jeremy.goimard@gmail.com,jeremy.goimard@gmail.com,2019-01-09 11:35:27 EST,2019-02-20 15:39:17 EST,6,verified,CABO-test,,,,,27909260,Jérémy Goimard,,2019-01-09,,2.5,,,,,,,,,,,,,,,,,Jérémy Goimard,2019-02-20,,,,,,,,
b86f38c1-4b20-4188-9301-44b1bd8c41e5,2019-01-14 13:21:21 EST,2019-02-21 12:19:15 EST,fabien.cichonski@etu.univ-amu.fr,fabien.cichonski@etu.univ-amu.fr,2019-01-14 13:37:12 EST,2019-02-21 12:25:54 EST,10,verified,2018-BeauchampRioux-MSc-UdeM,,,,,28347623,Fabien Cichonski,,2019-01-14,Batch number 10 - série 1,1.01375,1.0010714285714284,1.000892857142857,0.0021428571428521487,,,,,,,,,,,,,,Fabien Cichonski,2019-02-21,,,,,,,,
05dec535-5491-4d28-8558-7a1141c4de7a,2019-01-14 15:36:17 EST,2019-02-21 12:19:35 EST,fabien.cichonski@etu.univ-amu.fr,fabien.cichonski@etu.univ-amu.fr,2019-01-14 15:47:11 EST,2019-02-21 12:25:56 EST,9,verified,2018-BeauchampRioux-MSc-UdeM,,,,,28355719,Fabien Cichonski,,2019-01-14,Batch number 11 - série 2,1.004162330905307,1.0008671522719388,1.0003468609087756,0.0022545959070421834,,,,,,,,,,,,,,Fabien Cichonski,2019-02-21,,,,,,,,
74812157-2e5e-48cd-8f0b-42860e9f166c,2019-01-21 12:11:52 EST,2019-02-21 12:22:35 EST,fabien.cichonski@etu.univ-amu.fr,fabien.cichonski@etu.univ-amu.fr,2019-01-21 12:19:35 EST,2019-02-21 12:25:58 EST,10,verified,2018-BeauchampRioux-MSc-UdeM,,,,,28948254,Fabien Cichonski,,2019-01-21,"Batch number 12 - série ø
Contamination possible avec échantillons Alexis lors du bain NDF (cuve sale).",1.021584049753064,1.01335284433876,1.0084141210901776,0.004207060545091907,,,,,,,,,,,,,,Fabien Cichonski,2019-02-21,,,,,,,,
143d1299-768b-4ed1-a64c-ed4258e4857b,2019-01-21 17:08:47 EST,2019-02-21 12:20:37 EST,fabien.cichonski@etu.univ-amu.fr,fabien.cichonski@etu.univ-amu.fr,2019-01-21 17:16:47 EST,2019-02-21 12:26:00 EST,9,verified,2018-BeauchampRioux-MSc-UdeM,,,,,28966069,Fabien Cichonski,,2019-01-21,Batch number 13 - série 1,1.014822848879248,1.0070498915401302,1.0030730296456976,0.0032537960954435244,,,,,,,,,,,,,,Fabien Cichonski,2019-02-21,,,,,,,,
d5607e6f-011c-4d23-b89a-b7494a13aa43,2019-01-23 13:48:34 EST,2019-02-21 12:21:02 EST,fabien.cichonski@etu.univ-amu.fr,fabien.cichonski@etu.univ-amu.fr,2019-01-23 13:58:11 EST,2019-02-21 12:26:02 EST,8,verified,2018-BeauchampRioux-MSc-UdeM,,,,,29126856,Fabien Cichonski,,2019-01-23,Batch number 14 - série 2,1.0079337094499294,1.0021156558533144,1.0014104372355428,0.002468265162200793,,,,,,,,,,,,,,Fabien Cichonski,2019-02-21,,,,,,,,
aec0b52f-4dd5-443a-ae31-89c3f7fb4f67,2019-01-23 16:52:03 EST,2019-02-21 12:21:23 EST,fabien.cichonski@etu.univ-amu.fr,fabien.cichonski@etu.univ-amu.fr,2019-01-23 17:01:55 EST,2019-02-21 12:26:04 EST,12,verified,2018-BeauchampRioux-MSc-UdeM,,,,,29137866,"Antoine Mathieu,Fabien Cichonski",,2019-01-23,Batch number 15 - série 3,1.0054521526602744,1.000564015792442,1,0.00018800526415363724,,,,,,,,,,,,,,Fabien Cichonski,2019-02-21,,,,,,,,
08f13c9a-cda1-40dd-87c2-484ba23a1fe3,2019-01-25 13:47:12 EST,2019-02-21 12:21:44 EST,fabien.cichonski@etu.univ-amu.fr,fabien.cichonski@etu.univ-amu.fr,2019-01-25 13:55:54 EST,2019-02-21 12:26:05 EST,8,verified,2018-BeauchampRioux-MSc-UdeM,,,,,29299575,Fabien Cichonski,,2019-01-25,Batch number 16 - série 4,1.010933081998115,1.005278039585297,1.0020735155513667,0.003204524033929483,,,,,,,,,,,,,,Fabien Cichonski,2019-02-21,,,,,,,,
f3df80e2-b23b-4a04-966b-51a94215e1a0,2019-01-26 09:40:30 EST,2019-02-21 12:22:04 EST,fabien.cichonski@etu.univ-amu.fr,fabien.cichonski@etu.univ-amu.fr,2019-01-26 09:46:01 EST,2019-02-21 12:26:07 EST,10,verified,2018-BeauchampRioux-MSc-UdeM,,,,,29371172,Fabien Cichonski,,2019-01-26,Batch number 17 - série 5,1.0068419157364061,1.003601008282319,1.0021606049693914,0.003961109110554516,,,,,,,,,,,,,,Fabien Cichonski,2019-02-21,,,,,,,,
16b25d49-75a5-4399-9e5a-81519e37c57b,2019-01-29 14:29:27 EST,2019-02-21 12:22:55 EST,fabien.cichonski@etu.univ-amu.fr,fabien.cichonski@etu.univ-amu.fr,2019-01-29 14:59:54 EST,2019-02-21 12:26:09 EST,9,verified,2018-BeauchampRioux-MSc-UdeM,,,,,29647710,Fabien Cichonski,,2019-01-29,Batch number 18 - série ø,1.0125,1.006801470588235,1.003860294117647,0.0038602941176445926,,,,,,,,,,,,,,Fabien Cichonski,2019-02-21,,,,,,,,
06152663-49b5-4a05-b3cf-b2e1dae3b597,2019-01-31 14:28:23 EST,2019-02-21 12:23:36 EST,fabien.cichonski@etu.univ-amu.fr,fabien.cichonski@etu.univ-amu.fr,2019-01-31 14:42:10 EST,2019-02-21 12:26:10 EST,10,verified,2018-BeauchampRioux-MSc-UdeM,,,,,29820445,Fabien Cichonski,,2019-01-31,Batch number 19 - série 1,1.0107292234951808,1.000181851245681,1.000909256228405,0.003273322422263885,,,,,,,,,,,,,,Fabien Cichonski,2019-02-21,,,,,,,,
17d98b57-3c44-45ba-970b-c245b12055e0,2019-02-04 16:04:39 EST,2019-02-15 11:10:37 EST,fabien.cichonski@etu.univ-amu.fr,fabien.cichonski@etu.univ-amu.fr,2019-02-04 16:13:42 EST,2019-02-15 11:26:45 EST,11,deleted,2018-BeauchampRioux-MSc-UdeM,,,,,30171821,Fabien Cichonski,,2019-02-04,"Batch number 20 - série 2
Les échantillons ont eu 2 bains NDF suite à un débranchement de l'appareil pendant le 1er bain. Lors du 2e bain alpha-amylase et Na2SO3 n'ont pas été ajoutés à la solution de détergent.",1.003269160915365,,,,,,,,,,,,,Fabien Cichonski,2019-02-15,,,,,,,,,,,,
a91b78f1-5998-4334-9470-3612e9039baa,2019-02-06 14:08:37 EST,2019-02-11 10:16:26 EST,fabien.cichonski@etu.univ-amu.fr,fabien.cichonski@etu.univ-amu.fr,2019-02-06 14:10:30 EST,2019-02-11 10:20:34 EST,4,deleted,CABO-General,,,,,30337659,Fabien Cichonski,,2019-02-06,Batch number 21 - série 3 - contient échantillon Rosalie + Cabo général + Warren,,,,,,,,,,,,,,Fabien Cichonski,2019-02-11,,,,,,,,,,,,
a6f90085-62cf-4b0f-89df-82823ba3e314,2019-02-07 10:24:34 EST,2019-02-22 14:46:40 EST,antoine.mathieu.1@umontreal.ca,antoine.mathieu.1@umontreal.ca,2019-02-07 10:36:25 EST,2019-02-22 15:00:16 EST,5,verified,2018-BeauchampRioux-MSc-UdeM,,,,,30410616,"Antoine Mathieu,Fabien Cichonski",,2019-02-06,Batch number 21 - série 3 - contient échantillon Rosalie + Cabo général + Warren,1.0125093353248693,1.0057879014189695,1.0037341299477223,0.0028005974607917417,,,,,,,,,,,,,,Antoine Mathieu,2019-02-22,,,,,,,,
acedf0b0-6137-495f-93c1-8704af282941,2019-02-07 10:27:26 EST,2019-02-22 14:53:37 EST,antoine.mathieu.1@umontreal.ca,antoine.mathieu.1@umontreal.ca,2019-02-07 10:36:26 EST,2019-02-22 15:00:17 EST,5,verified,CABO-General,,,,,30410788,"Antoine Mathieu,Fabien Cichonski",,2019-02-06,Batch number 21 - série 3 - contient échantillon Rosalie + Cabo général + Warren,1.0125093353248693,1.0057879014189695,1.0037341299477223,0.0028005974607917417,,,,,,,,,,,,,,Antoine Mathieu,2019-02-22,,,,,,,,
65d14881-5e42-4d37-9b5e-870e73d9605c,2019-02-07 11:42:50 EST,2020-02-24 14:49:06 EST,antoine.mathieu.1@umontreal.ca,etienne.laliberte@umontreal.ca,2019-02-07 11:42:51 EST,2020-02-24 14:49:10 EST,7,verified,SWA-Warren,,,,,30415108,"Antoine Mathieu,Fabien Cichonski",,2019-02-06,Batch number 21 - série 3 - contient échantillon Rosalie + Cabo général + Warren,1.01250933532487,1.00578790141897,1.00373412994772,0.00280059746079174,,,,,,,,,,,,,,Antoine Mathieu,2019-02-22,,,,,,,,
cff56b73-6b15-484b-aaa6-bb958fc5a553,2019-02-11 15:11:51 EST,2020-02-24 14:48:56 EST,fabien.cichonski@etu.univ-amu.fr,etienne.laliberte@umontreal.ca,2019-02-11 16:13:29 EST,2020-02-24 14:49:00 EST,10,verified,SWA-Warren,,,,,30773454,Fabien Cichonski,,2019-02-11,Batch number 1 - série 4,1.00353751629119,1.00037237013592,1,0.00297896108732708,,,,,,,,,,,,,,Sabrina Demers-Thibeault,2019-09-16,,,,,,,,
eb306333-8f98-4610-ae24-453697838749,2019-02-15 11:10:46 EST,2019-04-10 14:58:56 EDT,fabien.cichonski@etu.univ-amu.fr,antoine.mathieu.1@umontreal.ca,2019-02-15 11:26:46 EST,2019-04-10 14:59:35 EDT,13,verified,2018-BeauchampRioux-MSc-UdeM,,,,,31104589,"Antoine Mathieu,Fabien Cichonski",,2019-02-15,Batch number 20 - série 1,1.0049568569854967,1.0009179364787957,1.0003671745915184,0.0012851110703174617,,,,,,,,,,Fabien Cichonski,2019-02-15,,,Antoine Mathieu,2019-04-10,,,,,,,,
525dd46a-ebb2-40e1-b1d5-f31d25150d7a,2019-02-20 14:30:58 EST,2020-02-24 14:49:17 EST,antoine.mathieu.1@umontreal.ca,etienne.laliberte@umontreal.ca,2019-02-20 14:30:58 EST,2020-02-24 14:49:21 EST,10,verified,SWA-Warren,,,,,31548558,Fabien Cichonski,,2019-02-19,Batch number 2 - série ø,1.00388967468175,1.00106082036775,1.0007072135785,0.00282885431399624,,,,,,,,,,,,,,Antoine Mathieu,2019-04-10,,,,,,,,
8d386494-07fd-4ec2-a68f-dd1fad723bb2,2019-02-20 15:11:05 EST,2019-08-29 13:45:28 EDT,antoine.mathieu.1@umontreal.ca,demers.t.sabrina@gmail.com,2019-02-20 15:11:06 EST,2019-08-29 13:54:19 EDT,14,verified,2018-Boucherville,,,,,31550542,"Antoine Mathieu,Sabrina Demers-Thibeault,Fabien Cichonski",,2019-02-20,Batch number 2 - série 3,1.0209366391184573,1.0082644628099175,1.0007346189164372,0.00238751147842153,,,,,,,,,,,,,,Antoine Mathieu,2019-04-10,,,,,,,,
23377353-0795-405b-8838-e4d6138f7614,2019-02-20 16:34:45 EST,2019-02-20 16:56:44 EST,fabien.cichonski@etu.univ-amu.fr,antoine.mathieu.1@umontreal.ca,2019-02-20 16:36:48 EST,2019-02-20 16:56:44 EST,2,deleted,SWA-Warren,,,,,31556027,Fabien Cichonski,,2019-02-20,Batch number 3 - série 2,,,,,,,,,,,,,,Antoine Mathieu,2019-02-20,,,,,,,,,,,,
73ba470a-558b-45f5-88c6-23992401c552,2019-02-20 16:35:26 EST,2019-09-16 15:00:55 EDT,fabien.cichonski@etu.univ-amu.fr,demers.t.sabrina@gmail.com,2019-02-20 16:36:48 EST,2019-09-16 15:05:45 EDT,14,verified,2018-Boucherville,,,,,31556069,"Antoine Mathieu,Sabrina Demers-Thibeault,Fabien Cichonski",,2019-02-19,"Batch number 1 - série 2. Échantillons de Warren et Boucherville.
Creusets pesés avec couvercles.",1.0066852367688024,1.0020427112349117,0.9998142989786444,0.003342618384393324,,,,,,,,,,,,,,Sabrina Demers-Thibeault,2019-09-16,,,,,,,,
dcc725ef-223a-4cfa-a6b2-fb68ef5f2614,2019-02-20 16:55:09 EST,2020-02-24 14:48:48 EST,antoine.mathieu.1@umontreal.ca,etienne.laliberte@umontreal.ca,2019-02-20 16:55:10 EST,2020-02-24 14:48:52 EST,11,verified,SWA-Warren,,,,,31556734,"Antoine Mathieu,Sabrina Demers-Thibeault,Fabien Cichonski",,2019-02-19,"Batch number 3 - série 2. Échantillons de Warren et Boucherville. 
Creusets pesés avec couvercles.",1.0066852367688,1.00204271123491,0.999814298978644,0.00334261838439332,,,,,,,,,,,,,,Sabrina Demers-Thibeault,2019-09-16,,,,,,,,
00c3b500-7288-497a-b188-af8aa059fd23,2019-02-21 10:48:04 EST,2019-08-29 13:37:50 EDT,fabien.cichonski@etu.univ-amu.fr,demers.t.sabrina@gmail.com,2019-02-21 10:56:43 EST,2019-08-29 13:54:23 EDT,13,verified,2018-Boucherville,,,,,31621626,"Antoine Mathieu,Sabrina Demers-Thibeault,Fabien Cichonski",,2019-02-21,Batch number 3 - série 4,1.0094083589650804,1.0045232495024428,1,0.0016283698208819526,,,,,,,,,,,,,,Antoine Mathieu,2019-04-10,,,,,,,,
b9caf906-8783-438f-afb8-166d64499821,2019-02-22 12:01:46 EST,2019-02-22 15:21:27 EST,fabien.cichonski@etu.univ-amu.fr,antoine.mathieu.1@umontreal.ca,2019-02-22 15:20:16 EST,2019-02-22 15:21:42 EST,2,deleted,2017-Dessain-MSc,,,,,31712448,Fabien Cichonski,,2019-02-22,"Batch number 1 - série 5
Contient échantillons Boucherville et Aurélie",,,,,,,,,,,,,,Antoine Mathieu,2019-02-22,,,,,,,,,,,,
a84fec6e-14c8-42be-b67a-3f6cfe6e8c3e,2019-02-22 15:00:48 EST,2019-09-16 15:02:42 EDT,antoine.mathieu.1@umontreal.ca,demers.t.sabrina@gmail.com,2019-02-22 15:20:17 EST,2019-09-16 15:05:46 EDT,9,verified,2018-Boucherville,,,,,31723190,"Antoine Mathieu,Sabrina Demers-Thibeault,Fabien Cichonski",,2019-02-22,"Batch number 4 - série 5. Contient échantillons Boucherville et Aurélie
Creusets pesés avec couvercles.",1.0104166666666665,1.0020102339181287,1.000548245614035,0.0025584795321707647,,,,,,,,,,,,,,Antoine Mathieu,2019-04-10,,,,,,,,
8244afe2-efe0-4f50-991f-9db68f710316,2019-10-29 15:11:24 EDT,2019-11-20 18:44:41 EST,isabelle_gareau@hotmail.fr,demers.t.sabrina@gmail.com,2019-10-29 15:11:25 EDT,2019-11-20 18:43:46 EST,8,verified,2018-Hacker-PhD-UBC,,,,,53232694,"Isabelle Gareau,Sabrina Demers-Thibeault",,2019-10-29,,1.0044436215515644,1.0003703017959638,0.9975930383262357,0.0012960562858765436,"6b4f16fc-2a90-42c5-aa00-44833cebaf0f,ed015a0e-529d-4d75-bf73-5da943d8f40b,cc931820-f52a-49d7-851a-7bbaefc28dcc","After NDF and drying oven,After ADF and drying oven,after ADL and drying oven",https://web.fulcrumapp.com/photos/view?photos=6b4f16fc-2a90-42c5-aa00-44833cebaf0f%2Ced015a0e-529d-4d75-bf73-5da943d8f40b%2Ccc931820-f52a-49d7-851a-7bbaefc28dcc,,,,,,,,,,,Sabrina Demers-Thibeault,2019-11-20,,,,,,,,
c5842013-ac14-4307-b11d-7a0b78a96101,2019-11-17 13:16:11 EST,2019-11-22 14:38:50 EST,isabelle_gareau@hotmail.fr,demers.t.sabrina@gmail.com,2019-11-17 13:16:12 EST,2019-11-22 14:37:56 EST,9,verified,2019-CABO-General,,,,,54871342,"Isabelle Gareau,Sabrina Demers-Thibeault",,2019-11-17,,0.9980416592487092,0.9962613494748086,0.996973473384369,0.0010681858643379059,"e3090860-dd47-4021-99b4-bf76bdbafe90,56adada5-bd5f-4256-940e-285a72b176b7,af735240-ce9f-46e4-bad8-e4c2b0eee826","after NDF and drying oven,after ADF and drying oven,after adl and drying oven",https://web.fulcrumapp.com/photos/view?photos=e3090860-dd47-4021-99b4-bf76bdbafe90%2C56adada5-bd5f-4256-940e-285a72b176b7%2Caf735240-ce9f-46e4-bad8-e4c2b0eee826,,,,,,,,,,,Sabrina Demers-Thibeault,2019-11-22,,,,,,,,
c1f390c8-3329-4019-81c8-9a17ec12e492,2019-12-02 13:39:08 EST,2019-12-16 13:59:05 EST,fabien.cichonski@etu.univ-amu.fr,demers.t.sabrina@gmail.com,2019-12-02 14:07:41 EST,2019-12-16 13:58:03 EST,10,verified,2018-Hacker-PhD-UBC,,,,,56169490,Fabien Cichonski,,2019-12-02,Série 1,1.0005004170141785,0.9984987489574645,0.9966638865721434,0.0008340283569562668,,,,,,,,,,,,Sabrina Demers-Thibeault,2019-12-16,Sabrina Demers-Thibeault,2019-12-16,,,,,,,,1
